n,Âµ(G),min p_n(G),max p_n(G),graph6_min,graph6_max
8,0,36,36.0,G@xC?C,GQEP?_
8,1,49,64.0,GYTA?G,GAQc`O
8,2,66,104.0,GA{@OW,GbE@GW
8,3,87,170.0,GKBg[_,GoKaQg
8,4,127,281.0,GsfDD?,GOuPbG
8,5,186,460.0,GZGl@W,GWuAhg
8,6,279,667.0,GiPAF{,GFZ_kS
8,7,426,984.0,G?{G^{,GxaQrW
8,8,653,1478.0,GnTRao,Gs]Jbg
8,9,1008,2086.0,G_{nws,GLv`uK
8,10,1437,2965.0,GzZrJG,GrZ[rK
8,11,1964,4022.0,GzZzJG,GlUmls
8,12,3039,5436.0,Gi|MV{,G]w}^c
8,13,4571,7468.0,Gz~jVO,Gvwy~K
8,14,6560,9677.0,G~xf~C,GF~nVk
8,15,8811,12548.0,G~Bvn{,Gv^~Ms
8,16,13051,16475.0,GzZf~{,G|~R~w
8,17,17618,21680.0,GN^~z{,Gl~~ns
8,18,24468,27099.0,G}~n~[,G|^^~{
8,19,32949,34058.0,G~n~n{,G~v~z{
8,20,43061,43061.0,G~~~v{,G~~~n{
8,21,54804,54804.0,G~~~~{,G~~~~{
9,0,45,,HiD??PA,
9,1,60,,HAcgSOO,
9,2,79,,HsACTB?,
9,3,102,,HcIkCb?,
9,4,146,,HHaj@_`,
9,5,246,,HAMCNoP,
9,6,363,,HITCCD},
9,7,484,,H@`?N|F,
9,8,770,,HivJARG,
9,9,949,,HX{hPpg,
9,10,1416,,HCO?N~~,
9,11,2149,,HX[hPB~,
9,12,3256,,HtrF}FA,
9,13,3894,,HXG`F~~,
9,14,6055,,HiR~yLM,
9,15,10148,,HNFzzkU,
9,16,13602,,HFFwlz~,
9,17,19903,,HOin~}n,
9,18,25449,,HF{^wv~,
9,19,38952,,H\}|xR~,
9,20,53500,,HJ\zr~~,
9,21,68505,,H~~~wR},
9,22,93948,,HJ\z~~~,
9,23,138310,,H~~]~~X,
9,24,180063,,H~~~{z},
9,25,240735,,H~rv~~~,
9,26,313150,,Hy~~~~~,
