n,Âµ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
3,1,6,6,slike_geodesic_min/graf_geodesic_min_mu1_n3.png,slike_geodesic_max/graf_geodesic_max_mu1_n3.png,Bw,Bw
4,1,10,12,slike_geodesic_min/graf_geodesic_min_mu1_n4.png,slike_geodesic_max/graf_geodesic_max_mu1_n4.png,CV,C]
5,1,15,18,slike_geodesic_min/graf_geodesic_min_mu1_n5.png,slike_geodesic_max/graf_geodesic_max_mu1_n5.png,DC{,DEw
6,1,21,26,slike_geodesic_min/graf_geodesic_min_mu1_n6.png,slike_geodesic_max/graf_geodesic_max_mu1_n6.png,E?bw,E?zO
7,1,28,35,slike_geodesic_min/graf_geodesic_min_mu1_n7.png,slike_geodesic_max/graf_geodesic_max_mu1_n7.png,F?AFw,F?`v?
8,1,36,46,slike_geodesic_min/graf_geodesic_min_mu1_n8.png,slike_geodesic_max/graf_geodesic_max_mu1_n8.png,G??CF{,G?`Db_
9,1,45,58,slike_geodesic_min/graf_geodesic_min_mu1_n9.png,slike_geodesic_max/graf_geodesic_max_mu1_n9.png,H???CB~,H?ABAqW
4,2,11,11,slike_geodesic_min/graf_geodesic_min_mu2_n4.png,slike_geodesic_max/graf_geodesic_max_mu2_n4.png,C^,C^
5,2,15,20,slike_geodesic_min/graf_geodesic_min_mu2_n5.png,slike_geodesic_max/graf_geodesic_max_mu2_n5.png,DQ{,DFw
6,2,21,29,slike_geodesic_min/graf_geodesic_min_mu2_n6.png,slike_geodesic_max/graf_geodesic_max_mu2_n6.png,ECRw,EEj_
7,2,28,39,slike_geodesic_min/graf_geodesic_min_mu2_n7.png,slike_geodesic_max/graf_geodesic_max_mu2_n7.png,F?`Fw,FCpf?
8,2,36,53,slike_geodesic_min/graf_geodesic_min_mu2_n8.png,slike_geodesic_max/graf_geodesic_max_mu2_n8.png,G?AAF{,G?B@v_
9,2,45,71,slike_geodesic_min/graf_geodesic_min_mu2_n9.png,slike_geodesic_max/graf_geodesic_max_mu2_n9.png,H??CAB~,H??F?zW
4,3,10,10,slike_geodesic_min/graf_geodesic_min_mu3_n4.png,slike_geodesic_max/graf_geodesic_max_mu3_n4.png,C~,C~
5,3,15,19,slike_geodesic_min/graf_geodesic_min_mu3_n5.png,slike_geodesic_max/graf_geodesic_max_mu3_n5.png,DT{,D]w
6,3,21,32,slike_geodesic_min/graf_geodesic_min_mu3_n6.png,slike_geodesic_max/graf_geodesic_max_mu3_n6.png,ECfw,EEz_
7,3,28,44,slike_geodesic_min/graf_geodesic_min_mu3_n7.png,slike_geodesic_max/graf_geodesic_max_mu3_n7.png,F?aNw,FCZf?
8,3,36,60,slike_geodesic_min/graf_geodesic_min_mu3_n8.png,slike_geodesic_max/graf_geodesic_max_mu3_n8.png,G?ACN{,G?`vF?
9,3,45,77,slike_geodesic_min/graf_geodesic_min_mu3_n9.png,slike_geodesic_max/graf_geodesic_max_mu3_n9.png,H??CCF~,H?B@tao
5,4,17,19,slike_geodesic_min/graf_geodesic_min_mu4_n5.png,slike_geodesic_max/graf_geodesic_max_mu4_n5.png,DV{,D]{
6,4,21,33,slike_geodesic_min/graf_geodesic_min_mu4_n6.png,slike_geodesic_max/graf_geodesic_max_mu4_n6.png,EQjw,EFz_
7,4,28,47,slike_geodesic_min/graf_geodesic_min_mu4_n7.png,slike_geodesic_max/graf_geodesic_max_mu4_n7.png,FCQVw,F?zV_
8,4,36,62,slike_geodesic_min/graf_geodesic_min_mu4_n8.png,slike_geodesic_max/graf_geodesic_max_mu4_n8.png,G?`CV{,G?ovF_
9,4,45,83,slike_geodesic_min/graf_geodesic_min_mu4_n9.png,slike_geodesic_max/graf_geodesic_max_mu4_n9.png,H?AACJ~,H?B@pro
5,5,17,17,slike_geodesic_min/graf_geodesic_min_mu5_n5.png,slike_geodesic_max/graf_geodesic_max_mu5_n5.png,D^{,D^{
6,5,23,31,slike_geodesic_min/graf_geodesic_min_mu5_n6.png,slike_geodesic_max/graf_geodesic_max_mu5_n6.png,EEvw,EFzo
7,5,29,49,slike_geodesic_min/graf_geodesic_min_mu5_n7.png,slike_geodesic_max/graf_geodesic_max_mu5_n7.png,FCdfw,F?zv_
8,5,36,70,slike_geodesic_min/graf_geodesic_min_mu5_n8.png,slike_geodesic_max/graf_geodesic_max_mu5_n8.png,GCOcf{,G?ovf_
9,5,45,94,slike_geodesic_min/graf_geodesic_min_mu5_n9.png,slike_geodesic_max/graf_geodesic_max_mu5_n9.png,H?`@CR~,H?B@vbo
5,6,15,15,slike_geodesic_min/graf_geodesic_min_mu6_n5.png,slike_geodesic_max/graf_geodesic_max_mu6_n5.png,D~{,D~{
6,6,21,30,slike_geodesic_min/graf_geodesic_min_mu6_n6.png,slike_geodesic_max/graf_geodesic_max_mu6_n6.png,ETnw,EFzw
7,6,28,49,slike_geodesic_min/graf_geodesic_min_mu6_n7.png,slike_geodesic_max/graf_geodesic_max_mu6_n7.png,FCe^w,F?~v_
8,6,36,72,slike_geodesic_min/graf_geodesic_min_mu6_n8.png,slike_geodesic_max/graf_geodesic_max_mu6_n8.png,G?aK^{,G?zTf_
9,6,45,96,slike_geodesic_min/graf_geodesic_min_mu6_n9.png,slike_geodesic_max/graf_geodesic_max_mu6_n9.png,H?ACKN~,H?r@fbo
6,7,24,30,slike_geodesic_min/graf_geodesic_min_mu7_n6.png,slike_geodesic_max/graf_geodesic_max_mu7_n6.png,ET~w,E]~o
7,7,28,47,slike_geodesic_min/graf_geodesic_min_mu7_n7.png,slike_geodesic_max/graf_geodesic_max_mu7_n7.png,FQinw,FFzf_
8,7,36,74,slike_geodesic_min/graf_geodesic_min_mu7_n8.png,slike_geodesic_max/graf_geodesic_max_mu7_n8.png,GCQSn{,G?zVf_
9,7,45,99,slike_geodesic_min/graf_geodesic_min_mu7_n9.png,slike_geodesic_max/graf_geodesic_max_mu7_n9.png,H?`CSV~,H?ovFbo
6,8,25,27,slike_geodesic_min/graf_geodesic_min_mu8_n6.png,slike_geodesic_max/graf_geodesic_max_mu8_n6.png,EV~w,E]~w
7,8,32,46,slike_geodesic_min/graf_geodesic_min_mu8_n7.png,slike_geodesic_max/graf_geodesic_max_mu8_n7.png,FCv^w,FFzfo
8,8,37,74,slike_geodesic_min/graf_geodesic_min_mu8_n8.png,slike_geodesic_max/graf_geodesic_max_mu8_n8.png,GCdcv{,G?zvf_
9,8,45,105,slike_geodesic_min/graf_geodesic_min_mu8_n9.png,slike_geodesic_max/graf_geodesic_max_mu8_n9.png,HCOccf~,H?ovfbo
10,1,55,72,slike_geodesic_min/graf_geodesic_min_mu1_n10.png,slike_geodesic_max/graf_max_mu1_n10.png,I???CB~O?,IEGaS?_Q?
11,1,66,87,slike_geodesic_min/graf_geodesic_min_mu1_n11.png,slike_geodesic_max/graf_max_mu1_n11.png,J???CB~O@??,JEGaS?_QA??
12,1,78,104,slike_geodesic_min/graf_geodesic_min_mu1_n12.png,slike_geodesic_max/graf_max_mu1_n12.png,K???CB~O@?A?,KCI?[C_O?OW?
13,1,91,122,slike_geodesic_min/graf_geodesic_min_mu1_n13.png,slike_geodesic_max/graf_max_mu1_n13.png,L???CB~O@?A?A?,LCI?[C_O?OW?_?
14,1,105,142,slike_geodesic_min/graf_geodesic_min_mu1_n14.png,slike_geodesic_max/graf_max_mu1_n14.png,M???CB~O@?A?A?@??,M_`?GC?IC?a??L@??
15,1,120,163,slike_geodesic_min/graf_geodesic_min_mu1_n15.png,slike_geodesic_max/graf_max_mu1_n15.png,N???CB~O@?A?A?@??O?,N_`?GC?IC?a??L@??A?
16,1,136,186,slike_geodesic_min/graf_geodesic_min_mu1_n16.png,slike_geodesic_max/graf_max_mu1_n16.png,O???CB~O@?A?A?@??O??_,O_`@G_?GC??C?G@??Q?Ag
17,1,153,210,slike_geodesic_min/graf_geodesic_min_mu1_n17.png,slike_geodesic_max/graf_max_mu1_n17.png,P???CB~O@?A?A?@??O??_?A?,P_`@G_?GC??C?G@??Q?Ag_??
18,1,171,236,slike_geodesic_min/graf_geodesic_min_mu1_n18.png,slike_geodesic_max/graf_max_mu1_n18.png,Q???CB~O@?A?A?@??O??_?A??C?,QC@?G??IO???A?AH?O?@OgO?S??
19,1,190,263,slike_geodesic_min/graf_geodesic_min_mu1_n19.png,slike_geodesic_max/graf_max_mu1_n19.png,R???CB~O@?A?A?@??O??_?A??C??C?,RC@?G??IO???A?AH?O?@OgO?S??O??
20,1,210,292,slike_geodesic_min/graf_geodesic_min_mu1_n20.png,slike_geodesic_max/graf_max_mu1_n20.png,S???CB~O@?A?A?@??O??_?A??C??C??A?,SC@?G??IO????_AH?A?@OgO?S??G??O??
21,1,231,322,slike_geodesic_min/graf_geodesic_min_mu1_n21.png,slike_geodesic_max/graf_max_mu1_n21.png,T???CB~O@?A?A?@??O??_?A??C??C??A???_,TC@?G??IO????_AH?A?@OgO?S??G??O??C??
22,1,253,354,slike_geodesic_min/graf_geodesic_min_mu1_n22.png,slike_geodesic_max/graf_max_mu1_n22.png,U???CB~O@?A?A?@??O??_?A??C??C??A???_??C?,UC@?G??IO????@AH?A?@OgO?S??G??O??C??@???
23,1,276,387,slike_geodesic_min/graf_geodesic_min_mu1_n23.png,slike_geodesic_max/graf_max_mu1_n23.png,V???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O?,VC@?G??IO????@AH?A?@OgO?S??G??O??C??@???G???
24,1,300,422,slike_geodesic_min/graf_geodesic_min_mu1_n24.png,slike_geodesic_max/graf_max_mu1_n24.png,W???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_,WC@????IOC???@AB?A?@OgO?S??G???C?C??@???G???_??
25,1,325,458,slike_geodesic_min/graf_geodesic_min_mu1_n25.png,slike_geodesic_max/graf_max_mu1_n25.png,X???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_,XC@????IOC???@AB?A?@OgO?S??G???C?C??@???G???_??@???
26,1,351,496,slike_geodesic_min/graf_geodesic_min_mu1_n26.png,slike_geodesic_max/graf_max_mu1_n26.png,Y???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O?,Y_????@??C?_A@A@?G@@??g?O?????@??C??CC?_?G????GI???P??C?
27,1,378,535,slike_geodesic_min/graf_geodesic_min_mu1_n27.png,slike_geodesic_max/graf_max_mu1_n27.png,Z???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C?,Z_????@??C?_A@A@?G@@??g?O?????@??C??CC?_?G????GI???P??C?C???
28,1,406,576,slike_geodesic_min/graf_geodesic_min_mu1_n28.png,slike_geodesic_max/graf_max_mu1_n28.png,[???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_,[_C???@@?_C?A@A@?G@???C????C????GC??_??_?GC??@?C??P??A???E?????A
29,1,435,618,slike_geodesic_min/graf_geodesic_min_mu1_n29.png,slike_geodesic_max/graf_max_mu1_n29.png,\???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A?,\_C???@@?_C?A@A@?G@???C????C????GC??_??_?GC??@?C??P??A???E?????A?@???
30,1,465,662,slike_geodesic_min/graf_geodesic_min_mu1_n30.png,slike_geodesic_max/graf_max_mu1_n30.png,]???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C?,]_C?A?@@????A@A@?G@???C????C????G_??_A?_?GC??B?C??P??A???C?????A?@????C???
10,2,55,85,slike_geodesic_min/graf_min_mu2_n10.png,slike_geodesic_max/graf_geodesic_max_mu2_n10.png,I??CAB~G?,I??F?zW?G
11,2,66,113,slike_geodesic_min/graf_min_mu2_n11.png,slike_geodesic_max/graf_geodesic_max_mu2_n11.png,J??CAB~G?_?,J?Ac?HW[O@?
12,2,78,137,slike_geodesic_min/graf_min_mu2_n12.png,slike_geodesic_max/graf_geodesic_max_mu2_n12.png,K??CAB~G?_@?,K?Ac?HW[O@?C
13,2,91,165,slike_geodesic_min/graf_min_mu2_n13.png,slike_geodesic_max/graf_geodesic_max_mu2_n13.png,L??CAB~G?_@?@?,L?As?HGWO@_C?G
14,2,105,194,slike_geodesic_min/graf_min_mu2_n14.png,slike_geodesic_max/graf_geodesic_max_mu2_n14.png,M??CAB~G?_@?@??C?,M?As?HGWO@_C?G?G?
15,2,120,227,slike_geodesic_min/graf_min_mu2_n15.png,slike_geodesic_max/graf_geodesic_max_mu2_n15.png,N??CAB~G?_@?@??C?@?,N?As?HGWO@_CC??G??G
16,2,136,261,slike_geodesic_min/graf_min_mu2_n16.png,slike_geodesic_max/graf_geodesic_max_mu2_n16.png,O??CAB~G?_@?@??C?@??G,O?As?HGWO@_CC??G??G@?
17,2,153,299,slike_geodesic_min/graf_min_mu2_n17.png,slike_geodesic_max/graf_geodesic_max_mu2_n17.png,P??CAB~G?_@?@??C?@??G??_,P?As?HGWO@_CC??G?_?@??G?
18,2,171,338,slike_geodesic_min/graf_min_mu2_n18.png,slike_geodesic_max/graf_geodesic_max_mu2_n18.png,Q??CAB~G?_@?@??C?@??G??_?@?,Q?As?HGWO@_CC??G?_?@??G??_?
19,2,190,381,slike_geodesic_min/graf_min_mu2_n19.png,slike_geodesic_max/graf_geodesic_max_mu2_n19.png,R??CAB~G?_@?@??C?@??G??_?@??@?,R?As?H?WO@?CC??G????O?K?I??@@?
20,2,210,425,slike_geodesic_min/graf_min_mu2_n20.png,slike_geodesic_max/graf_geodesic_max_mu2_n20.png,S??CAB~G?_@?@??C?@??G??_?@??@???_,S?As?H?WO@?CC??G????O?K?I??@@?@??
21,2,231,473,slike_geodesic_min/graf_min_mu2_n21.png,slike_geodesic_max/graf_geodesic_max_mu2_n21.png,T??CAB~G?_@?@??C?@??G??_?@??@???_??G,T??{?H?WO??OC????@?@??K?I??@B?@???_?
22,2,253,522,slike_geodesic_min/graf_min_mu2_n22.png,slike_geodesic_max/graf_geodesic_max_mu2_n22.png,U??CAB~G?_@?@??C?@??G??_?@??@???_??G??@?,U??{?H?WO??OC????@?@??K?I??@B?@???_??G??
23,2,276,575,slike_geodesic_min/graf_min_mu2_n23.png,slike_geodesic_max/graf_geodesic_max_mu2_n23.png,V??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C?,V?_cGH?WS??_c??????@_????_??B???C?__??Q??O??
24,2,300,629,slike_geodesic_min/graf_min_mu2_n24.png,slike_geodesic_max/graf_geodesic_max_mu2_n24.png,W??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G,W?_cGH?WS??_c??????@_????_??B???C?__??Q??O?O???
25,2,325,687,slike_geodesic_min/graf_min_mu2_n25.png,slike_geodesic_max/graf_geodesic_max_mu2_n25.png,X??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G,X?K?GH??o???@??G?C?@_?A??o??AC?C??_???I@???A__????C
26,2,351,746,slike_geodesic_min/graf_min_mu2_n26.png,slike_geodesic_max/graf_geodesic_max_mu2_n26.png,Y??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C?,Y?K?GH??o???@??G?C?@_?A??o??AC?C??_???I@???A__????C?G???
27,2,378,809,slike_geodesic_min/graf_min_mu2_n27.png,slike_geodesic_max/graf_geodesic_max_mu2_n27.png,Z??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@?,Z?G?GG??o?????A??C?@_????o?GACOC??_?O@I@????_???A?????_AD???
28,2,406,873,slike_geodesic_min/graf_min_mu2_n28.png,slike_geodesic_max/graf_geodesic_max_mu2_n28.png,[??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G,[?G?GG??o?????A??C?@_????o?GACOC??_?O@I@????_???A?????_AD???@???
29,2,435,941,slike_geodesic_min/graf_min_mu2_n29.png,slike_geodesic_max/graf_geodesic_max_mu2_n29.png,\??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_,\?G?GG??o?????A@?C?@_????o?GACOC??_?O?I@????_???A?????_AD???@????G???
30,2,465,1010,slike_geodesic_min/graf_min_mu2_n30.png,slike_geodesic_max/graf_geodesic_max_mu2_n30.png,]??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@?,]?G?GG??o?????A@?C?@_????o?GACOC??_?O?I@????_???A?????_AD???@????G????_???
10,3,55,98,slike_geodesic_min/graf_geodesic_min_mu3_n10.png,slike_geodesic_max/graf_max_mu3_n10.png,I??CCF~O?,ID_d@?YQ?
11,3,66,122,slike_geodesic_min/graf_geodesic_min_mu3_n11.png,slike_geodesic_max/graf_max_mu3_n11.png,J??CCF~O@??,J_??A`QhPW?
12,3,78,146,slike_geodesic_min/graf_geodesic_min_mu3_n12.png,slike_geodesic_max/graf_max_mu3_n12.png,K??CCF~O@?A?,KF@D?DGw???H
13,3,91,190,slike_geodesic_min/graf_geodesic_min_mu3_n13.png,slike_geodesic_max/graf_max_mu3_n13.png,L??CCF~O@?A?A?,LW?S_R?OOGGG@_
14,3,105,252,slike_geodesic_min/graf_geodesic_min_mu3_n14.png,slike_geodesic_max/graf_max_mu3_n14.png,M??CCF~O@?A?A?@??,M@??Ab?BcW?D?C?W?
15,3,120,300,slike_geodesic_min/graf_geodesic_min_mu3_n15.png,slike_geodesic_max/graf_max_mu3_n15.png,N??CCF~O@?A?A?@??A?,N@??Ab?BcW?D?C?W?O?
16,3,136,334,slike_geodesic_min/graf_geodesic_min_mu3_n16.png,slike_geodesic_max/graf_max_mu3_n16.png,O??CCF~O@?A?A?@??A??O,O@??Ab?BcW?D?C?W?O?@?
17,3,153,413,slike_geodesic_min/graf_geodesic_min_mu3_n17.png,slike_geodesic_max/graf_max_mu3_n17.png,P??CCF~O@?A?A?@??A??O?@?,PC??AD?F?W?O?I?WCO?@OC??
18,3,171,478,slike_geodesic_min/graf_geodesic_min_mu3_n18.png,slike_geodesic_max/graf_max_mu3_n18.png,Q??CCF~O@?A?A?@??A??O?@??A?,Q??C?A?N?W?S?I??GW?@O??G_@?
19,3,190,544,slike_geodesic_min/graf_geodesic_min_mu3_n19.png,slike_geodesic_max/graf_max_mu3_n19.png,R??CCF~O@?A?A?@??A??O?@??A??A?,R??C_A?J?W?S?I?OGO?@O??G?@@A??
20,3,210,618,slike_geodesic_min/graf_geodesic_min_mu3_n20.png,slike_geodesic_max/graf_max_mu3_n20.png,S??CCF~O@?A?A?@??A??O?@??A??A??@?,S??C_A?J?W?S?I?OGO?@O??G?@@A??C??
21,3,231,693,slike_geodesic_min/graf_geodesic_min_mu3_n21.png,slike_geodesic_max/graf_max_mu3_n21.png,T??CCF~O@?A?A?@??A??O?@??A??A??@???O,T??C_A?J?W?S?I?OGO?@O??G?@@A??C??A??
22,3,253,776,slike_geodesic_min/graf_geodesic_min_mu3_n22.png,slike_geodesic_max/graf_max_mu3_n22.png,U??CCF~O@?A?A?@??A??O?@??A??A??@???O??A?,U??C?a?J?W?S?I?OGO?@O??G?@@A??C??A???_??
23,3,276,860,slike_geodesic_min/graf_geodesic_min_mu3_n23.png,slike_geodesic_max/graf_max_mu3_n23.png,V??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G?,V??C?a?J?W?S?I?OGO?@O??G?@@A??C??A???_??C???
24,3,300,952,slike_geodesic_min/graf_geodesic_min_mu3_n24.png,slike_geodesic_max/graf_max_mu3_n24.png,W??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O,W??C@A?J?W?S?I?O?O?@OC?G?@?A???A?A???_?AC?????G
25,3,325,1045,slike_geodesic_min/graf_geodesic_min_mu3_n25.png,slike_geodesic_max/graf_max_mu3_n25.png,X??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O,X??C@A?J?W?S?I?O?O?@OC?G?@?A???A?A???_?AC?????G?_??
26,3,351,1146,slike_geodesic_min/graf_geodesic_min_mu3_n26.png,slike_geodesic_max/graf_max_mu3_n26.png,Y??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G?,Y??C@A?J?W?S?I?O?O?@OC?G?@?A???A???@?_?AC?????G?_???_???
27,3,378,1248,slike_geodesic_min/graf_geodesic_min_mu3_n27.png,slike_geodesic_max/graf_max_mu3_n27.png,Z??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A?,Z??C@A?J?W?S?I?O?O?@OC?G?@?A???A???@?_?AC?????G?_???_???O???
28,3,406,1358,slike_geodesic_min/graf_geodesic_min_mu3_n28.png,slike_geodesic_max/graf_max_mu3_n28.png,[??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O,[??C?a?B?W?O?I?O?O?@O????@@?????GO???_?BC???I@??_???_?????G?D???
29,3,435,1469,slike_geodesic_min/graf_geodesic_min_mu3_n29.png,slike_geodesic_max/graf_max_mu3_n29.png,\??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O???@?,\??C?a?B?W?O?I?O?O?@O????@@?????GO???_?BC???I@??_???_?????G?D????_???
30,3,465,1588,slike_geodesic_min/graf_geodesic_min_mu3_n30.png,slike_geodesic_max/graf_max_mu3_n30.png,]??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O???@????A?,]G?C?a?B?W???IO??O?@OG??????????W??_?C???A?_?G?C_???@?????S?D????_??O??G??
10,4,55,111,slike_geodesic_min/graf_min_mu4_n10.png,slike_geodesic_max/graf_geodesic_max_mu4_n10.png,I?AACJ~G?,IoO[PA@P_
11,4,66,145,slike_geodesic_min/graf_min_mu4_n11.png,slike_geodesic_max/graf_geodesic_max_mu4_n11.png,J?AACJ~G?_?,JacJ?C?c`B?
12,4,78,182,slike_geodesic_min/graf_min_mu4_n12.png,slike_geodesic_max/graf_geodesic_max_mu4_n12.png,K?AACJ~G?_@?,Kag@D@?@aQCA
13,4,91,225,slike_geodesic_min/graf_min_mu4_n13.png,slike_geodesic_max/graf_geodesic_max_mu4_n13.png,L?AACJ~G?_@??C,LR`_SD?O??DG?a
14,4,105,283,slike_geodesic_min/graf_min_mu4_n14.png,slike_geodesic_max/graf_geodesic_max_mu4_n14.png,M?AACJ~G?_@??C?A?,MACDL?C?OOa@?g?Q?
15,4,120,356,slike_geodesic_min/graf_min_mu4_n15.png,slike_geodesic_max/graf_geodesic_max_mu4_n15.png,N?AACJ~G?_@??C?A??_,NAC@KG??UOaC?o?Q?O?
16,4,136,424,slike_geodesic_min/graf_min_mu4_n16.png,slike_geodesic_max/graf_geodesic_max_mu4_n16.png,O?AACJ~G?_@??C?A??_?C,OAC@KGO?UO_C?o?Q?O@??
17,4,153,504,slike_geodesic_min/graf_min_mu4_n17.png,slike_geodesic_max/graf_geodesic_max_mu4_n17.png,P?AACJ~G?_@??C?A??_?C??O,PACDCGO?QW_C?o?QC?@???G?
