n,Âµ(G),min p_n(G),max p_n(G),graph6_min,graph6_max,m(G),subpath_value
3,0,6.0,6.0,BW,BW,,
3,1,9.0,9.0,Bw,Bw,,
4,0,10.0,10.0,CF,CU,,
4,1,15.0,16.0,CV,C],,
4,2,23.0,23.0,C^,C^,,
4,3,34.0,34.0,C~,C~,,
5,0,15.0,15.0,D?{,DQo,,
5,1,22.0,25.0,DC{,DUW,,
5,2,33.0,38.0,DQ{,DFw,,
5,3,51.0,57.0,DF{,D]w,,
5,4,78.0,83.0,DV{,D]{,,
5,5,116.0,116.0,D^{,D^{,,
5,6,165.0,165.0,D~{,D~{,,
6,0,21.0,21.0,E?Bw,ECZ?,,
6,1,30.0,36.0,E?bw,EEh_,,
6,2,43.0,56.0,ECRw,ECxo,,
6,3,67.0,88.0,ECZw,EEz_,,
6,4,99.0,141.0,E?~w,EFz_,,
6,5,154.0,196.0,EC~w,EFzo,,
6,6,231.0,279.0,ETnw,E]yw,,
6,7,345.0,402.0,EF~w,E]~o,,
6,8,508.0,535.0,EV~w,E]~w,,
6,9,720.0,720.0,E^~w,E^~w,,
6,10,981.0,981.0,E~~w,E~~w,,
7,0,28.0,28.0,F??Fw,FCQb?,,
7,1,39.0,49.0,F?AFw,FCp`_,,
7,2,54.0,78.0,F?`Fw,FCR`o,,
7,3,73.0,125.0,FCOfw,FCpv?,,
7,4,123.0,204.0,F?`vw,FCxv?,,
7,5,173.0,306.0,F?B~w,FCxv_,,
7,6,268.0,445.0,F?b~w,F?~v_,,
7,7,418.0,650.0,F?r~w,FFzf_,,
7,8,623.0,939.0,F?z~w,FFzvO,,
7,9,883.0,1267.0,F?~~w,FFzvo,,
7,10,1308.0,1712.0,FTm~w,FU~vo,,
7,11,1895.0,2342.0,FTn~w,F]~vo,,
7,12,2743.0,3112.0,FF~~w,F]~vw,,
7,13,3852.0,4015.0,FV~~w,F]~~w,,
7,14,5222.0,5222.0,F^~~w,F^~~w,,
7,15,6853.0,6853.0,F~~~w,F~~~w,,
8,0,36.0,36.0,G???F{,G?`ad?,,
8,1,49.0,64.0,G??CF{,G?qa`_,,
8,2,66.0,104.0,G?AAF{,GCOf?w,,
8,3,87.0,170.0,G?`@F{,G?q`qg,,
8,4,127.0,281.0,G?`@f{,GCR`r_,,
8,5,186.0,460.0,GCOcf{,GCrb`o,,
8,6,279.0,667.0,G??F~{,G?o~f_,,
8,7,426.0,986.0,G?AF~{,G?zVf_,,
8,8,653.0,1478.0,G?`F~{,G?zvf_,,
8,9,1005.0,2232.0,G?Bf~{,G?~vf_,,
8,10,1437.0,2965.0,G?Bv~{,G?~vfo,,
8,11,1964.0,4022.0,G?B~~{,GC~vfo,,
8,12,3039.0,5436.0,G?b~~{,GFzfuw,,
8,13,4571.0,7468.0,G?r~~{,GFzvvW,,
8,14,6560.0,9677.0,G?z~~{,GFzf~w,,
8,15,8811.0,12558.0,GTm|~{,GFz~vw,,
8,16,12399.0,16475.0,GTm~~{,G]~vv[,,
8,17,17618.0,21680.0,GTn~~{,G]~v~w,,
8,18,24468.0,27099.0,GF~~~{,G]~v~{,,
8,19,32949.0,34058.0,GV~~~{,G]~~~{,,
8,20,43061.0,43061.0,G^~~~{,G^~~~{,,
8,21,54804.0,54804.0,G~~~~{,G~~~~{,,
9,0,8.0,45.0,H???F}?,,8.0,45.0
9,1,9.0,60.0,H??CF|?,,9.0,60.0
9,2,10.0,79.0,H?AAF{_,,10.0,79.0
9,3,11.0,102.0,H?`@F{O,,11.0,102.0
9,4,12.0,129.0,HC@@F{H,,12.0,129.0
9,5,13.0,211.0,HCOcd|G,,13.0,211.0
9,6,14.0,325.0,H??F||A,,14.0,325.0
9,7,15.0,423.0,H?AFz{B,,15.0,473.0
9,8,16.0,634.0,H?`B~{B,,16.0,712.0
9,9,17.0,949.0,H?OF~{R,,17.0,949.0
9,10,18.0,1416.0,H_GF~{F,,18.0,1416.0
9,11,19.0,2149.0,H??~~{F,,19.0,2149.0
9,12,20.0,2948.0,H?B~wL~,,20.0,2948.0
9,13,21.0,4575.0,H?~w^{L,,21.0,3894.0
9,14,22.0,6055.0,H?~w^{\,,22.0,6055.0
9,15,23.0,10770.0,HTm|~|?,,23.0,10770.0
9,16,24.0,14748.0,H|~x\Wk,,24.0,13602.0
9,17,25.0,19903.0,HT~||{K,,25.0,19903.0
9,18,26.0,28187.0,Hv}[v}X,,26.0,25449.0
9,19,27.0,38952.0,Hm~]~|H,,27.0,38952.0
9,20,28.0,53500.0,H~~~~m?,,28.0,53500.0
9,21,29.0,68505.0,H~~~~}?,,29.0,68505.0
9,22,,,H~~~~~?,,30.0,93948.0
9,23,,,H~~~~~_,,31.0,131134.0
9,24,,,H~~~~~o,,32.0,180063.0
9,25,,,H~~~~~w,,33.0,240735.0
9,26,,,H~~~~~{,,34.0,313150.0
9,27,,,H~~~~~},,35.0,397308.0
9,28,,,H~~~~~~,,36.0,493209
